"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AGFO","Food","A","Annual","A","Annual","USM","Million US dollar","2008","","","","49521.665938"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AGFO","Food","A","Annual","A","Annual","USM","Million US dollar","2015","","","","102670.506468"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AGFO","Food","A","Annual","A","Annual","USM","Million US dollar","2002","","","","9891.160384"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AGFO","Food","A","Annual","A","Annual","USM","Million US dollar","2003","","","","14970.495616"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AGFO","Food","A","Annual","A","Annual","USM","Million US dollar","2009","","","","45248.357243"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AGFO","Food","A","Annual","A","Annual","USM","Million US dollar","2016","","","","99651.655985"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AGFO","Food","A","Annual","A","Annual","USM","Million US dollar","2014","","","","105857.584"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AGFO","Food","A","Annual","A","Annual","USM","Million US dollar","2010","","","","59556.203347"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AGFO","Food","A","Annual","A","Annual","USM","Million US dollar","2013","","","","98647.248"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AGFO","Food","A","Annual","A","Annual","USM","Million US dollar","2021","","","","205582.101532"
